video_id,source_video_id,video_path,frames_dir,class_name,label,split,num_frames,image_size,fraction,model_name,pred_label,pred_class,true_class_confidence,confidence_vector
ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p025,ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p025,ApplyEyeMakeup,0,test,16,224,0.25,vjepa,0,ApplyEyeMakeup,0.9815024733543396,"[0.9815024733543396, 0.015579748898744583, 0.0006452291272580624, 0.0006725131534039974, 0.001599998795427382]"
ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p050,ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p050,ApplyEyeMakeup,0,test,16,224,0.5,vjepa,0,ApplyEyeMakeup,0.9741925001144409,"[0.9741925001144409, 0.0148476492613554, 0.004122007638216019, 0.0021156901493668556, 0.0047220755368471146]"
ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p075,ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p075,ApplyEyeMakeup,0,test,16,224,0.75,vjepa,0,ApplyEyeMakeup,0.9883400201797485,"[0.9883400201797485, 0.007818211801350117, 0.0009072423563338816, 0.0010788652580231428, 0.0018556592985987663]"
ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p100,ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p100,ApplyEyeMakeup,0,test,16,224,1.0,vjepa,0,ApplyEyeMakeup,0.971811830997467,"[0.971811830997467, 0.02343004196882248, 0.0012336561921983957, 0.0012510332744568586, 0.0022734403610229492]"
Basketball_v_Basketball_g01_c01_f517f117__p025,Basketball_v_Basketball_g01_c01_f517f117,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Basketball/v_Basketball_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Basketball_v_Basketball_g01_c01_f517f117__p025,Basketball,1,test,16,224,0.25,vjepa,1,Basketball,0.9973394274711609,"[0.0019385170890018344, 0.9973394274711609, 0.000322100764606148, 0.00026759353931993246, 0.00013232245692051947]"
Basketball_v_Basketball_g01_c01_f517f117__p050,Basketball_v_Basketball_g01_c01_f517f117,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Basketball/v_Basketball_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Basketball_v_Basketball_g01_c01_f517f117__p050,Basketball,1,test,16,224,0.5,vjepa,1,Basketball,0.9979950189590454,"[0.0011679058661684394, 0.9979950189590454, 0.0005596490809693933, 0.00022353246458806098, 5.38534986844752e-05]"
Basketball_v_Basketball_g01_c01_f517f117__p075,Basketball_v_Basketball_g01_c01_f517f117,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Basketball/v_Basketball_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Basketball_v_Basketball_g01_c01_f517f117__p075,Basketball,1,test,16,224,0.75,vjepa,1,Basketball,0.9922294020652771,"[0.006111350376158953, 0.9922294020652771, 0.00010216329974355176, 0.0003443767491262406, 0.001212696428410709]"
Basketball_v_Basketball_g01_c01_f517f117__p100,Basketball_v_Basketball_g01_c01_f517f117,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Basketball/v_Basketball_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Basketball_v_Basketball_g01_c01_f517f117__p100,Basketball,1,test,16,224,1.0,vjepa,1,Basketball,0.9996185302734375,"[0.0002232473052572459, 0.9996185302734375, 1.21676639537327e-05, 3.901610762113705e-05, 0.00010709030902944505]"
Biking_v_Biking_g01_c01_bb209968__p025,Biking_v_Biking_g01_c01_bb209968,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Biking/v_Biking_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Biking_v_Biking_g01_c01_bb209968__p025,Biking,2,test,16,224,0.25,vjepa,2,Biking,0.9950135350227356,"[0.0006250781589187682, 0.0007878936594352126, 0.9950135350227356, 0.00042205254430882633, 0.003151527838781476]"
Biking_v_Biking_g01_c01_bb209968__p050,Biking_v_Biking_g01_c01_bb209968,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Biking/v_Biking_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Biking_v_Biking_g01_c01_bb209968__p050,Biking,2,test,16,224,0.5,vjepa,2,Biking,0.9919446110725403,"[0.000267876370344311, 0.0003238458593841642, 0.9919446110725403, 0.00019014037388842553, 0.007273472845554352]"
